pair,target,confounder,method,shot,metric,mean,std
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,auprc,0.7053650259971619,0.04591273239384774
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,f1,0.6938095092773438,0.03409337829845609
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,brier,0.23242906033992766,0.012357589460128035
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,ece,0.14594396203756332,0.038342685372489214
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,false_positive_c0d1,0.6041592597961426,0.04780986296383055
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,sms_raw_logit,0.5484212160110473,0.14724525939055463
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,sms_normalized_logit,0.772645115852356,0.15396271687909324
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,support_swap_flip_rate,0.1879999965429306,0.07989054565679432
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,support_swap_error_gap,0.04799999594688416,0.030536864101305957
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,worst_support_panel_error,0.4079999983310699,0.015247953242394299
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,d0_auroc,0.7727200031280518,0.032233390938916355
Edema__Cardiomegaly,Edema,Cardiomegaly,iera,3,d0_auprc,0.7677772879600525,0.05453736615509713
